10/29/2018,Francesca's on Chestnut,Restaurants,-$67.70
10/29/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
10/29/2018,Piece Brewery and Pizzeria,Nightlife,-$31.46
10/29/2018,Raising Cane's,Restaurants,-$8.35
10/29/2018,Randolph Street Market,Extra,-$24.00
10/29/2018,Steakbar,Nightlife,-$22.07
10/29/2018,Swig,Nightlife,-$14.00
10/29/2018,Tiller (tillerhq.com),Subscriptions,-$5.00
10/29/2018,Vanguard Buy, Des:investment ID:x5509, Indn:stuart Ian Mcrobbie, CO Id:vmc,Transfer,-$100.00
10/29/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep in,Brokerage,-$100.00
10/27/2018,Amazon Prime, Amzn.com/billwa,Subscriptions,-$7.03
10/27/2018,Chick-fil-a,Restaurants,-$4.32
10/27/2018,Hchroncilenewsst2543,Extra,-$3.07
10/27/2018,Jason's Deli,Restaurants,-$12.75
10/27/2018,Microsoft,Extra,-$64.94
10/27/2018,Pimlico Irish Pub,Nightlife,-$13.00
10/26/2018,Chuy S Westchase,Restaurants,-$17.09
10/26/2018,Corner Store,Gas,-$17.09
10/26/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
10/26/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep out,Transfer,$139.87
10/26/2018,Zelle Transfer Conf# c53a8bda8;, Prestwood, Jacoby,Transfer,$911.00
10/25/2018,Interest Earned,Transfer,$0.05
10/24/2018,Vanguard Total Stock Market Etf-buy,Transfer,-$139.87
10/23/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$52.00
10/23/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$130.00
10/23/2018,Chipotle,Restaurants,-$7.42
10/23/2018,Porch Swing Pub,Restaurants,-$7.50
10/23/2018,Sprouts Farmers Market,Groceries,-$38.36
10/22/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
10/22/2018,Microsoft,Extra,-$42.21
10/22/2018,Online Banking transfer to Chk 8631, Confirmation# x1894,Phone BIll,-$60.00
10/22/2018,Vanguard Buy, Des:investment ID:x5509, Indn:stuart Ian Mcrobbie, CO Id:vmc,Transfer,-$100.00
10/22/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep in,Brokerage,-$100.00
10/20/2018,Corner Store,Gas,-$28.70
10/20/2018,Walmart,Transfer,-$18.38
10/19/2018,Geico, Des:prem Coll, Id:5asoh4e5vl8oe E, Indn:stuart Mcrobbie, CO Id:3530,Car Insurance,-$106.75
10/19/2018,Gringo's Mexican Kitchen,Restaurants,-$12.27
10/19/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$895.85
10/19/2018,Taco Bell,Restaurants,-$2.15
10/19/2018,Zelle Transfer Conf# 9ex4304;, Delfino, Christopher,Additional Income,$20.00
10/17/2018,Chick-fil-a,Restaurants,-$7.03
10/17/2018,Chick-fil-a,Gifts,-$8.28
10/17/2018,Chipotle,Restaurants,-$7.42
10/16/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$54.00
10/16/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$135.00
10/16/2018,Geico,Home Insurance,-$11.67
10/16/2018,Momentum Indoor Climbi,Fitness,-$80.11
10/16/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep out,Transfer,$426.00
10/16/2018,Vanguard Federal Money Market Fund (settlement Fund)-sweep out,Transfer,$568.00
10/15/2018,Concrete Cowboy,Nightlife,-$7.00
10/15/2018,H-e-b #630,Groceries,-$38.23
10/15/2018,Online Banking transfer from Chk 9299, Confirmation# x6703,Transfer,$1,300.00
10/15/2018,Online Banking transfer to Sav 8096, Confirmation# x6703,Transfer,-$1,300.00
10/15/2018,Stockx,Clothes,-$143.95
10/15/2018,Tst* Coco Crepes Waffles,Restaurants,-$13.96
10/13/2018,Buffalo Wild Wings,Restaurants,-$13.08
10/13/2018,Walmart,Nightlife,-$8.88
10/12/2018,Bank of America Credit Card Bill Payment,Transfer,-$38.22
10/12/2018,Corner Store,Gas,-$29.31
10/12/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$926.02
10/12/2018,Online Banking transfer from Chk 9299, Confirmation# x1483,Transfer,$1,500.00
10/12/2018,Online Banking transfer to Sav 8096, Confirmation# x1483,Transfer,-$1,500.00
10/12/2018,Payment - Thank You,Transfer,$38.22
10/12/2018,Taco Bell,Restaurants,-$5.07
10/12/2018,Vanguard Total Stock Market Etf-buy,Transfer,-$568.00
10/12/2018,Vanguard Total Stock Market Etf-buy,Transfer,-$426.00
10/11/2018,Zelle Transfer Conf# 0d2f5fd53;, Prestwood, Jacoby,Utilities,-$91.15
10/10/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$50.00
10/10/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$125.00
10/10/2018,Chipotle,Restaurants,-$7.42
10/10/2018,Kolache Shoppe,Restaurants,-$9.29
10/9/2018,H-e-b #551,Groceries,-$46.67
10/9/2018,Hctra Ez Tag Rebill,Car Expenses,-$40.00
10/9/2018,Mint Thai Kitchen,Restaurants,-$33.61
10/9/2018,Shell Oil,Gas,-$23.86
10/8/2018,12 Roof Top Bar & Lounge,Nightlife,-$11.50
10/8/2018,FM Kitchen and Bar,Restaurants,-$59.58
10/8/2018,Mcdonald's,Restaurants,-$11.45
10/8/2018,O'bannon's Taphouse,Nightlife,-$26.50
10/8/2018,Roughdraughtwhiskeybar,Nightlife,-$14.72
10/8/2018,Roughdraughtwhiskeybar,Nightlife,-$8.31
10/8/2018,Taco Bell,Restaurants,-$13.92
10/8/2018,Taco Bell,Restaurants,-$10.03
10/8/2018,Uber Technologies,Extra,-$5.67
10/5/2018,Corner Store,Gas,-$27.50
10/5/2018,Credit-travel Reward,Transfer,$60.05
10/5/2018,Hm Mechanical Co Des:payroll, Id:710, Indn:mcrobbie, Stuart I., CO Id:1760,Paycheck,$865.67
10/5/2018,Microsoft*xbox Live Go, Redmond, WA,Subscriptions,-$10.65
10/5/2018,Spicy Chen Asian Bistro,Restaurants,-$9.12
10/4/2018,Amazon,Home Improvements,-$43.29
10/4/2018,Southwest Airlines,Holidays,-$204.91
10/4/2018,Southwest Airlines,Holidays,-$243.97
10/3/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,401k,$125.00
10/3/2018,1122 Vanguard Totl Stck Mkt Index Fd Adm,Match,$50.00
10/3/2018,Columbia,Clothes,-$167.78
10/3/2018,Vanguard Total Stock Market Etf-dividend,Transfer,$13.13
10/3/2018,Vanguard Total Stock Market Etf-dividend,Transfer,$23.74
10/3/2018,Vanguard Total Stock Market Etf-reinvestment,Transfer,-$13.13
10/3/2018,Vanguard Total Stock Market Etf-reinvestment,Transfer,-$23.74
10/2/2018,Chipotle,Restaurants,-$7.42
10/2/2018,Corner Store,Gas,-$13.14
10/2/2018,Momentum Indoor Climbi,Fitness,-$6.50
10/2/2018,Sunrise by the P Des:web Pmts, Id:br4371, Indn:stuart Mcrobbie, CO Id:9084,Rent,-$955.35
10/1/2018,Cabo Baja Tacos & Burritos,Restaurants,-$27.87
10/1/2018,Costco,Extra,-$77.89
10/1/2018,From: Bank of America, Na-contribution,Transfer,$100.00
10/1/2018,From: Bank of America, Na-funds Received,Transfer,$100.00
10/1/2018,Java Lava Brew,Restaurants,-$19.81
10/1/2018,Starbucks,Restaurants,-$4.06
10/1/2018,Trader Joe's,Groceries,-$52.96
10/1/2018,Tst* Coco Crepes Waffles,Restaurants,-$34.53
